,lr,ridge,svr,knn,ann,forest,gbrt
0,-0.04371150998681075,-0.045599980888768786,-0.029885657615279608,-0.05115965595887771,-0.023743789962954974,-0.025238446949527676,-0.020904649413944505
1,-0.029906481401628004,-0.03050251042761134,-0.01881066931774537,-0.04602810019567867,-0.020655452270828656,-0.016956210800197116,-0.015232580423551514
2,-0.039960189901602515,-0.04185928751623643,-0.01972861693986794,-0.050226067609679854,-0.02116207601475274,-0.022351073322463853,-0.016951263370828185
3,-0.0343848469106926,-0.03450821609749177,-0.027768312896188703,-0.06579670631882183,-0.030496545266353824,-0.021981648922782697,-0.01894110542251459
4,-0.04609242464327292,-0.04160657334688956,-0.026079033861515426,-0.059915884563268525,-0.020183276420726988,-0.024601266747421392,-0.02083655924449863
5,-0.04072294243014899,-0.04360343011345019,-0.021092723657081053,-0.04303498548618984,-0.02823423351482775,-0.02264322285757281,-0.018675090569027032
6,-0.03442081780496701,-0.0355953242369603,-0.021829010716161418,-0.06439122695531352,-0.019650754238034075,-0.016734446607425284,-0.013566921928910024
7,-0.04195668526159913,-0.04034763170635567,-0.025476638874338056,-0.05330090268265339,-0.025470785432400868,-0.021302926849996053,-0.019694375824853207
8,-0.03847392469062745,-0.037473163121355096,-0.025886163606649634,-0.05503406967504288,-0.03122950717423133,-0.024476457658405282,-0.02220821596645843
9,-0.03787355502482609,-0.0401521023906473,-0.030568839866185787,-0.058273992306963396,-0.02849796396073308,-0.02705544938042669,-0.020739140899618362
10,-0.048187704919510965,-0.048197163907221605,-0.022244118827630454,-0.049998212796359,-0.030472948139099367,-0.02375499812437804,-0.020289969647211543
11,-0.04155122928065299,-0.043563167926336126,-0.03501999979546162,-0.06588622234749276,-0.02015315935901613,-0.03132663871896545,-0.02235788581564633
12,-0.0337245651976929,-0.033404998261118715,-0.023202181610992304,-0.05467769180116752,-0.019856276337548315,-0.018032976931172486,-0.01412919388239549
13,-0.044528787569551094,-0.03967621080852406,-0.021834718539621125,-0.05181729949572848,-0.02347769202283491,-0.020018858738605448,-0.019581450085540308
14,-0.03287133948729085,-0.03234038023019077,-0.023886651801221646,-0.051267215329754805,-0.028436717274816437,-0.022916626938728625,-0.02096608776674481
15,-0.03974182091962838,-0.0384552541336277,-0.03269753632212734,-0.05561514356569508,-0.027435206322171658,-0.02759336808862332,-0.021297161513140588
16,-0.042486415072244536,-0.04446228095911678,-0.030761982783148085,-0.06869273191497942,-0.0277383370104413,-0.025341116207556396,-0.02048448002622154
17,-0.03460968838274037,-0.0363688788853645,-0.01782059669853333,-0.04101315152514288,-0.023907295758504508,-0.017016868196998707,-0.015188440348637106
18,-0.03583326822025062,-0.03563652282901291,-0.025770229671347514,-0.055047064101548734,-0.02341216744931631,-0.02142221929257819,-0.01848001269538514
19,-0.040577320147385756,-0.041044864533900466,-0.020344565197010913,-0.04722776005203156,-0.019720250980383224,-0.023883028410114703,-0.017085336761485714
20,-0.03790314862762291,-0.03977229702150647,-0.026211418647193195,-0.050423488094766586,-0.01938157042527361,-0.020733291375569358,-0.01799281951296509
21,-0.03796478927774206,-0.03940190062000883,-0.027856558291990973,-0.06106845213004181,-0.02185669143923464,-0.021458471046436327,-0.01840751683297678
22,-0.03557865801384876,-0.03725735519215754,-0.01682689239293637,-0.038299152009217824,-0.02238809456473258,-0.014394519411547336,-0.01475796695306395
23,-0.038232566048495384,-0.03822699230937704,-0.027701095764827544,-0.06366848536496626,-0.021012620696954677,-0.026835722327491617,-0.022126438608079276
24,-0.04177573435415229,-0.041974608534026084,-0.029240061179217926,-0.05555110776196349,-0.024241673473708442,-0.026989369550659854,-0.021581625195776503
25,-0.03650421277892863,-0.03915132332583802,-0.02864576801971281,-0.05644647968752665,-0.031757472042962136,-0.025821866177994323,-0.020731488369963406
26,-0.04258268366598185,-0.0406737730652924,-0.026514432323541687,-0.05444397647327253,-0.022409873664247754,-0.0224619097757295,-0.01804503352509451
27,-0.035385617796725145,-0.033240503035731644,-0.02354272884081039,-0.049878962164238844,-0.020128510714744374,-0.019958898898223363,-0.01774450436031459
28,-0.03825570204671685,-0.04056737121627521,-0.026024450091212254,-0.055500855207798974,-0.022662492331104216,-0.026767529460124735,-0.01740464284167053
29,-0.03694736412074014,-0.03583016160828664,-0.02559519733479315,-0.06244959490616831,-0.02563786349663117,-0.023697327422195717,-0.019708249603659644
